"week";"Guinea";"Liberia";"SierraLeone"
1;2244;;
2;2244;;
3;0073;;
4;5717;;
5;3954;;
6;5444;;
7;3274;;
8;5762;;
9;7615;;
10;7615;;
11;27392;;
12;17387;;
13;27115;;
14;2929;;
15;2784;;
16;16345;;
17;10917;;
18;11959;;
19;11959;;
20;8657;;
21;26537;;
22;47764;3517;
23;26582;1043;5494
24;32967;18;57048
25;18707;1634;76022
26;24322;13742;36768
27;4719;10155;81929
28;7081;24856;102632
29;8527;53294;69823
30;92227;70146;81783
31;26423;139269;99775
32;16549;6566;8817
33;36819;240645;90489
34;9208;274826;16154
35;10103;21556;168966
36;102113;388553;186144
37;83016;410299;220442
38;106674;300989;258693
39;55522;240237;299546
